round,status,ppa_backend,complete,feasible,cases,cycles,frequency_mhz,latency_ns,area_um2,power_mw,energy_nj,energy_efficiency_queries_per_joule,slack_ns,hold_slack_ns,route_drc_violations,quality_loss,critic_layer,critique_applied
1,evaluated,hammer_openroad,True,True,100,60.0,300,200.0,125672.76399991395,45.6256233,9.12512466,109587543.97991972,0.5873149,0.00566144,0,0.04474579932352966,compiler,True
2,failed,,,,,,,,,,,,,,,,,False
