round,status,ppa_backend,complete,feasible,cases,cycles,frequency_mhz,latency_ns,area_um2,power_mw,energy_nj,energy_efficiency_queries_per_joule,slack_ns,hold_slack_ns,route_drc_violations,quality_loss,critic_layer,critique_applied
1,evaluated,hammer_openroad,True,True,100,60.0,300,200.0,132392.987999922,47.6655699,9.533113980000001,104897518.491644,0.31882253,0.00417,0,0.002363811826138993,uarch,False
2,evaluated,hammer_openroad,True,False,100,60.0,300,200.0,133226.36599994043,48.061464,9.612292799999999,104033451.83159631,-0.0729401,0.00615974,0,0.002363811826138993,kernel,False
3,candidate_failed,,,,,,,,,,,,,,,,compiler,False
4,evaluated,hammer_openroad,True,True,100,60.0,300,200.0,132392.987999922,47.6655699,9.533113980000001,104897518.491644,0.31882253,0.00417,0,0.002363811826138993,kernel,True
5,evaluated,hammer_openroad,True,True,100,56.0,300,186.66666666666669,117718.83199993092,41.4465591,7.736691032000001,129254224.55981047,0.40683836,0.00437653,0,0.036554734741143735,uarch,False
