JobID|JobName|State|ExitCode|ElapsedRaw|AllocCPUS|MaxRSS|Partition|QOS|NodeList|Start|End
17427021_16.batch|batch|COMPLETED|0:0|338|8|1378640K|||cs668|2026-09-11T21:37:49|2026-09-11T21:43:27
17427021_16.extern|extern|COMPLETED|0:0|338|8||||cs668|2026-09-11T21:37:49|2026-09-11T21:43:27
17427021_17|critic-ablate|COMPLETED|0:0|127|8||cpu_short|cpu48|cs668|2026-09-11T21:37:52|2026-09-11T21:39:59
17427021_17.batch|batch|COMPLETED|0:0|127|8|1531444K|||cs668|2026-09-11T21:37:52|2026-09-11T21:39:59
17427021_17.extern|extern|COMPLETED|0:0|127|8||||cs668|2026-09-11T21:37:52|2026-09-11T21:39:59
17427021_18|critic-ablate|COMPLETED|0:0|354|8||cpu_short|cpu48|cs668|2026-09-11T21:40:01|2026-09-11T21:45:55
17427021_18.batch|batch|COMPLETED|0:0|354|8|651948K|||cs668|2026-09-11T21:40:01|2026-09-11T21:45:55
17427021_18.extern|extern|COMPLETED|0:0|354|8||||cs668|2026-09-11T21:40:01|2026-09-11T21:45:55
17427021_19|critic-ablate|COMPLETED|0:0|313|8||all|cpu48|cs605|2026-09-11T21:40:05|2026-09-11T21:45:18
17427021_19.batch|batch|COMPLETED|0:0|313|8|676380K|||cs605|2026-09-11T21:40:05|2026-09-11T21:45:18
17427021_19.extern|extern|COMPLETED|0:0|313|8||||cs605|2026-09-11T21:40:05|2026-09-11T21:45:18
17427021_20|critic-ablate|COMPLETED|0:0|358|8||all|cpu48|cs605|2026-09-11T21:40:05|2026-09-11T21:46:03
17427021_20.batch|batch|COMPLETED|0:0|358|8|640224K|||cs605|2026-09-11T21:40:05|2026-09-11T21:46:03
17427021_20.extern|extern|COMPLETED|0:0|358|8||||cs605|2026-09-11T21:40:05|2026-09-11T21:46:03
17427021_21|critic-ablate|COMPLETED|0:0|411|8||all|cpu48|cs648|2026-09-11T21:41:56|2026-09-11T21:48:47
17427021_21.batch|batch|COMPLETED|0:0|411|8|809412K|||cs648|2026-09-11T21:41:56|2026-09-11T21:48:47
17427021_21.extern|extern|COMPLETED|0:0|411|8||||cs648|2026-09-11T21:41:56|2026-09-11T21:48:47
17427021_22|critic-ablate|COMPLETED|0:0|345|8||all|cpu48|cs648|2026-09-11T21:42:00|2026-09-11T21:47:45
17427021_22.batch|batch|COMPLETED|0:0|345|8|662056K|||cs648|2026-09-11T21:42:00|2026-09-11T21:47:45
17427021_22.extern|extern|COMPLETED|0:0|345|8||||cs648|2026-09-11T21:42:00|2026-09-11T21:47:45
17427021_23|critic-ablate|COMPLETED|0:0|318|8||all|cpu48|cs648|2026-09-11T21:45:05|2026-09-11T21:50:23
17427021_23.batch|batch|COMPLETED|0:0|318|8|675156K|||cs648|2026-09-11T21:45:05|2026-09-11T21:50:23
17427021_23.extern|extern|COMPLETED|0:0|318|8||||cs648|2026-09-11T21:45:05|2026-09-11T21:50:23
