algorithm,round,status,config,calibration_rmse,calibration_sparsity,heldout_rmse,heldout_sparsity,search_feasible,independently_qualified,critic_layer,critique_applied,xm_collapses_to_fixed_nm,area_um2,power_mw,frequency_mhz,latency_ns,energy_nj,energy_efficiency_queries_per_joule,energy_efficiency_dense_equivalent_tops_per_w,slack_ns,hold_slack_ns,route_drc_violations
rq1_block_nm,1,ppa_failed,"{""n"": 7}",0.03358657986150424,0.125,0.03775422390872124,0.125,False,,,False,,,,,,,,,,,
rq1_sanger_threshold,1,evaluated,"{""threshold_256"": 3}",0.03839193117999572,0.3775889376218323,0.038867556410522336,0.363372802734375,True,True,kernel,True,,74779.51599996084,23.3000778,300,73.33333333333334,1.708672372,585249704.0316163,0.05618397158703518,0.07215206,0.00315911,0
rq1_sanger_threshold,2,evaluated,"{""threshold_256"": 2}",0.02407117346551637,0.3153935185185185,0.02399677929837984,0.3032684326171875,True,,compiler,True,,81281.88599996526,25.675957999999998,300,140.0,3.59463412,278192429.77641356,0.0267064732585357,1.10246301,0.0059999,0
rq1_sanger_threshold,3,failed,"{""threshold_256"": 2}",0.02407117346551637,0.3153935185185185,0.02399677929837984,0.3032684326171875,,,,False,,,,,,,,,,,
